state,position,name,screen_name,party,congress
LA,Representative,Ralph Abraham,CongressmanRalphAbraham,R,115
NC,Representative,Alma Adams,RepAdams,D,115
AL,Representative,Robert Aderholt,robert_aderholt,R,115
CA,Representative,Peter Aguilar,RepPeteAguilar,D,115
GA,Representative,Richard Allen,RepRickAllen,R,115
MI,Representative,Justin Amash,justinamash,R,115
AS,Representative,Aumua Amata Radewagen,RepAmata,R,115
NV,Representative,Mark Amodei,MarkAmodeiNV2,R,115
TX,Representative,Jodey Arrington,RepArrington,R,115
TX,Representative,Brian Babin,RepBrianBabin,R,115
NE,Representative,Donald Bacon,RepDonBacon,R,115
IN,Representative,James Banks,RepJimBanks,R,115
PA,Representative,Louis Barletta,RepLouBarletta,R,115
KY,Representative,Garland Barr,RepAndyBarr,R,115
CA,Representative,Nanette Barragön,RepBarragan,D,115
TX,Representative,Joe Barton,RepJoeBarton,R,115
CA,Representative,Karen Bass,RepKarenBass,D,115
OH,Representative,Joyce Beatty,RepBeatty,D,115
CA,Representative,Amerish Bera,RepBera,D,115
MI,Representative,John Bergman,RepJackBergman,R,115
VA,Representative,Donald Beyer,RepDonBeyer,D,115
AR,Representative,Andy Biggs,RepAndyBiggsAZ,R,115
FL,Representative,Gus Bilirakis,RepGusBillrakis,R,115
GA,Representative,Sanford Bishop,SanfordBishop,D,115
MI,Representative,Michael Bishop,RepMikeBishop,R,115
UT,Representative,Robert Bishop,RepRobBishop,R,115
TN,Representative,Diane Black,RepDianeBlack,R,115
TN,Representative,Marsha Blackburn,MarshaBlackburn,R,115
IA,Representative,Rodney Blum,RepRodBlum,R,115
OR,Representative,Earl Blumenauer,RepBlumenauer,D,115
OR,Representative,Suzanne Bonamici,RepBonamici,D,115
IL,Representative,Mike Bost,CongressmanBost,R,115
PA,Representative,Brendan Boyle,RepBrendanBoyle,D,115
PA,Representative,Robert Brady,RepBrady,D,115
TX,Representative,Kevin Brady,RepKevinBrady,R,115
VA,Representative,David Brat,RepDaveBrat,R,115
OK,Representative,James Bridenstine,RepJBridenstine,R,115
AL,Representative,Morris Brooks,repmobrooks,R,115
IN,Representative,Susan Brooks,SusanWBrooks,R,115
MD,Representative,Anthony Brown,AnthonyBrownMD4,D,115
CA,Representative,Julia Brownley,JuliaBrownley26,D,115
FL,Representative,Vernon Buchanan,VernBuchanan,R,115
CO,Representative,Kenneth Buck,RepKenBuck,R,115
IN,Representative,Larry Bucshon,RepLarryBucshon,R,115
NC,Representative,Theodore Budd,RepTedBudd,R,115
TX,Representative,Michael Burgess,MichaleCBurgess,R,115
IL,Representative,Cheri Bustos,RepCheri,D,115
NC,Representative,George Butterfield,GKButterfield,D,115
AL,Representative,Bradley Byrne,RepByrne,R,115
CA,Representative,Kenneth Calvert,KenCalvert,R,115
MA,Representative,Michael Capuano,MikeCapuano,D,115
CA,Representative,Salud Carbajal,RepCarbajal,D,115
CA,Representative,Tony Cördenas,RepCardenas,D,115
IN,Representative,Andr_ Carson,RepAndreCarson,D,115
GA,Representative,Earl Carter,Rep_BuddyCarter,R,115
TX,Representative,John Carter,JudgeCarter,R,115
PA,Representative,Matthew Cartwright,RepCartwright,D,115
FL,Representative,Kathy Castor,USRepKCastor,D,115
TX,Representative,Joaquin Castro,JoaquinCastroTX,D,115
OH,Representative,Steve Chabot,RepSteveChabot,R,115
WY,Representative,Elizabeth Cheney,Rep_LizCheney,R,115
CA,Representative,Judy Chu,RepJudyChu,D,115
RI,Representative,David Cicilline,RepCicilline,D,115
MA,Representative,Katherine Clark,RepKClark,D,115
NY,Representative,Yvette Clarke,YvetteClarke,D,115
MO,Representative,William Clay,LacyClayMO,D,115
MO,Representative,Emanuel Cleaver,RepCleaver,D,115
SC,Representative,James Clyburn,Clyburn,D,115
CO,Representative,Mike Coffman,RepMikeCoffman,R,115
TN,Representative,Stephen Cohen,RepCohen,D,115
OK,Representative,Tom Cole,TomColeOK04,R,115
GA,Representative,Doug Collins,RepDougCollins,R,115
NY,Representative,Christopher Collins,RepChrisCollins,R,115
VA,Representative,Barbara Comstock,RepComstock,R,115
TX,Representative,K. Conaway,ConawayTX11,R,115
VA,Representative,Gerald Connolly,GerryConnolly,D,115
CA,Representative,Paul Cook,RepPaulCook,R,115
TN,Representative,James Cooper,RepJimCooper,D,115
CA,Representative,Jim Costa,RepJimCosta,D,115
PA,Representative,Ryan Costello,RepRyanCostello,R,115
CT,Representative,Joseph Courtney,RepJoeCourtney,D,115
ND,Representative,Kevin Cramer,RepKevinCramer,R,115
AR,Representative,Eric Crawford,RepRickCrawford,R,115
FL,Representative,Charlie Crist,RepCharlieCrist,D,115
NY,Representative,Joseph Crowley,RepJoeCrowley,D,115
TX,Representative,Henry Cuellar,RepCueller,D,115
TX,Representative,John Culberson,CongCulberson,R,115
MD,Representative,Elijah Cummings,RepCummings,D,115
FL,Representative,Carlos Curbelo,RepCurbelo,R,115
UT,Representative,John Curtis,RepJohnCurtis,R,115
CA,Representative,Susan Davis,RepSusanDavis,D,115
IL,Representative,Danny Davis,RepDannyDavis,D,115
IL,Representative,Rodney Davis,RodneyDavis,R,115
OR,Representative,Peter DeFazio,RepPeterDeFazio,D,115
CO,Representative,Diana DeGette,RepDianaDeGette,D,115
MD,Representative,John Delaney,RepJohnDelaney,D,115
CT,Representative,Rosa DeLauro,RosaDeLauro,D,115
WA,Representative,Suzan DelBene,RepDelBene,D,115
FL,Representative,Valdez Demings,RepValDemings,D,115
CA,Representative,Jeff Denham,RepJeffDenham,R,115
PA,Representative,Charles Dent,RepCharlieDent,R,115
FL,Representative,Ron DeSantis,RepDeSantis,R,115
