state,position,name,screen_name,party,congress
CA,Representative,Mark DeSaulnier,RepDeSaulnier,D,115
TN,Representative,Scott DesJarlais,DesJarlaisTN04,R,115
FL,Representative,Theodore Deutch,RepTedDeutch,D,115
FL,Representative,Mario Diaz-Balart,MarioDB,R,115
MI,Representative,Deborah Dingell,RepDebSingell1,D,115
TX,Representative,Lloyd Doggett,RepLloydDoggett,D,115
NY,Representative,Daniel Donovan,RepDanDonovan,R,115
PA,Representative,Michael Doyle,USRepMikeDoyle,D,115
WI,Representative,Sean Duffy,RepSeanDuffy,R,115
SC,Representative,Jeffrey Duncan,RepJeffDuncan,R,115
TN,Representative,John Duncan,RepJohnDuncanJr,R,115
FL,Representative,Neal Dunn,drnealdunnfl2,R,115
MN,Representative,Keith Ellison,KeithEllison,D,115
MN,Representative,Thomas Emmer,RepTomEmmer,R,115
NY,Representative,Eliot Engel,RepElliotEngel,D,115
CA,Representative,Anna Eshoo,RepAnnaEshoo,D,115
NY,Representative,Adriano Espaillat,EspaillatNY,D,115
KS,Representative,Ron Estes,RepRonEstes,R,115
CT,Representative,Elizabeth Esty,RepEsty,D,115
PA,Representative,Dwight Evans,RepDwightEvans,D,115
TX,Representative,Randolph Farenthold,Farenthold,R,115
NY,Representative,John Faso,RepJohnFaso,R,115
GA,Representative,Drew Ferguson,RepDrewFerguson,R,115
PA,Representative,Brian Fitzpatrick,repbrianfitz,R,115
TN,Representative,Charles Fleischmann,RepChuck,R,115
TX,Representative,William Flores,RepBillFlores,R,115
NE,Representative,Jeff Fortenberry,JeffFortenberry,R,115
IL,Representative,G. Foster,RepBillFoster,D,115
NC,Representative,Virginia Foxx,VirginiaFoxx,R,115
FL,Representative,Lois Frankel,RepLoisFrankel,D,115
NJ,Representative,Rodney Frelinghuysen,USRepRodney,R,115
OH,Representative,Marcia Fudge,MLFudge,D,115
HI,Representative,Tulsi Gabbard,TulsiPress,D,115
FL,Representative,Matthew Gaetz,Rep_Matt_Gaetz,R,115
WI,Representative,Michael Gallagher,RepGallagher,R,115
AZ,Representative,Ruben Gallego,RepRubenGallego,D,115
CA,Representative,John Garamendi,RepGaramendi,D,115
VA,Representative,Thomas Garrett,Rep_Tom_Garrett,R,115
MT,Representative,Greg Gianforte,GregForMontana,R,115
OH,Representative,Robert Gibbs,RepBobGibbs,R,115
TX,Representative,Louie Gohmert,RepLouieGohmert,R,115
CA,Representative,Jimmy Gomez,JimmyGomezCA,D,115
TX,Representative,Vicente Gonzalez,RepGonzalez,D,115
PR,Representative,Jenniffer Gonzölez Colãn,RepJenniffer,R,115
VA,Representative,Robert Goodlatte,RepGoodlatte,R,115
AZ,Representative,Paul Gosar,RepGosar,R,115
NJ,Representative,Joshua Gottheimer,RepJoshG,D,115
SC,Representative,Harold Gowdy,TGowdySC,R,115
FL,Representative,Gwendolyn Graham,RepGwenGraham,D,115
TX,Representative,Kay Granger,RepKayGranger,R,115
GA,Representative,John Graves,RepTomGraves,R,115
LA,Representative,Garret Graves,RepGarretGraves,R,115
MO,Representative,Samuel Graves,RepSamGraves,R,115
TX,Representative,Al Green,RepAlGreen,D,115
TX,Representative,Raymond Green,RepGeneGreen,D,115
VA,Representative,H. Griffith,ReMGriffith,R,115
AZ,Representative,Ra“l Grijalva,RepRaulGrijalva,D,115
WI,Representative,Glenn Grothman,RepGrothman,R,115
KY,Representative,Steven Guthrie,RepGuthrie,R,115
IL,Representative,Luis Gutierrez,RepGutierrez,D,115
HI,Representative,Colleen Hanabusa,rephanabusa,D,115
GA,Representative,Karen Handel,RepKHandel,R,115
MS,Representative,Gregg Harper,GregHarper,R,115
MD,Representative,Andrew Harris,RepAndyHarrisMD,R,115
MO,Representative,Vicky Hartzler,RepHartzler,R,115
FL,Representative,Alcee Hastings,RepHastingsFL,D,115
WA,Representative,Dennis Heck,RepDennyHeck,D,115
TX,Representative,Jeb Hensarling,RepHensarling,R,115
WA,Representative,Jaime Herrera Beutler,HerreraBuetler,R,115
GA,Representative,Jody Hice,CongressmanHice,R,115
LA,Representative,Clay Higgins,CaptClayHiggins,R,115
NY,Representative,Brian Higgins,RepBrianHiggins,D,115
AR,Representative,J. Hill,RepFrenchHill,R,115
CT,Representative,James Himes,JaHimes,D,115
NC,Representative,George Holding,RepHolding,R,115
IN,Representative,Joseph Hollingsworth,RepTrey,R,115
MD,Representative,Steny Hoyer,WhipHoyer,D,115
NC,Representative,Richard Hudson,RepRichHudson,R,115
CA,Representative,Jared Huffman,RepHuffman,D,115
MI,Representative,William Huizenga,RepHuizenga,R,115
IL,Representative,Randall Hultgren,RepHultgren,R,115
CA,Representative,Duncan Hunter,Rep_Hunter,R,115
TX,Representative,Will Hurd,HurdOnTheHill,R,115
CA,Representative,Darrell Issa,DarrellIssa,R,115
TX,Representative,Sheila Jackson-Lee,JakcsonLeeTX18,D,115
WA,Representative,Pramila Jayapal,pramilajayapal,D,115
NY,Representative,Hakeem Jeffries,RepJeffries,D,115
KS,Representative,Lynn Jenkins,RepLynnJenkins,R,115
WV,Representative,Evan Jenkins,RepEvanJenkins,R,115
GA,Representative,Henry Johnson,RepHankJohnson,D,115
OH,Representative,Bill Johnson,RepBillJohnson,R,115
TX,Representative,Eddie Johnson,RepEBJ,R,115
NC,Representative,Walter Jones,RepWalterJones,R,115
OH,Representative,James Jordan,Jim_Jordan,R,115
OH,Representative,David Joyce,RepDaveJoyce,R,115
OH,Representative,Marcia Kaptur,RepMarcyKaptur,D,115
NY,Representative,John Katko,RepJohnKatko,R,115
MA,Representative,William Keating,USRepKeating,D,115
IL,Representative,Robin Kelly,RepRobinKelly,D,115
MS,Representative,Trent Kelly,RepTrentKelly,R,115
PA,Representative,George Kelly,MikeKellyPA,R,115
MA,Representative,Joseph Kennedy,RepJoeKennedy,d,115
CA,Representative,Rohit Khanna,RepRoKhanna,D,115
NV,Representative,Ruben Kihuen,repkihuen,D,115
MI,Representative,Daniel Kildee,RepDanKildee,D,115
WA,Representative,Derek Kilmer,RepDerekKilmer,D,115
WI,Representative,Ron Kind,RepRonKind,D,115
IA,Representative,Steven King,SteveKingIA,R,115
NY,Representative,Peter King,RepPeteKing,R,115
IL,Representative,Adam Kinzinger,RebKinzinger,R,115
CA,Representative,Stephen Knight,RepSteveKnight,R,115
IL,Representative,S. Krishnamoorthi,congressmanraja,D,115
NH,Representative,Ann Kuster,RepAnnieKuster,R,115
TN,Representative,David Kustoff,repdavidkustoff,R,115
ID,Representative,Ra“l Labrador,Raul_Labrador,R,115
IL,Representative,Darin LaHood,RepLaHood,R,115
CA,Representative,Doug LaMalfa,RepLaMalfa,R,115
CO,Representative,Douglas Lamborn,RepDLamborn,R,115
NJ,Representative,Leonard Lance,RepLanceNY7,R,115
RI,Representative,James Langevin,JimLangevin,D,115
WA,Representative,Richard Larsen,RepRickLarsen,D,115
CT,Representative,John Larson,RepJohnLarson,D,115
OH,Representative,Robert Latta,BobLatta,R,115
MI,Representative,Brenda Lawrence,RepLawrence,D,115
FL,Representative,Alfred Lawson,RepAlLawsonJr,D,115
CA,Representative,Barbara Lee,RepBarbaraLee,D,115
MI,Representative,Sander Levin,RepSandyLevin,D,115
GA,Representative,John Lewis,RepJohnLewis,D,115
MN,Representative,Jason Lewis,RepJasonLewis,R,115
CA,Representative,Ted Lieu,RepTedLieu,D,115
IL,Representative,Daniel Lipinski,RepLipinski,D,115
NJ,Representative,Frank LoBiondo,RepLoBiondo,R,115
IA,Representative,David Loebsack,DaveLoebsack,D,115
CA,Representative,Zoe Lofgren,RepZoeLofgren,D,115
MO,Representative,Billy Long,USRepLong,R,115
GA,Representative,Barry Loudermilk,RepLoudermilk,R,115
UT,Representative,Ludmya Love,RepMiaLove,R,115
CA,Representative,Alan Lowenthal,RepLowenthal,D,115
NY,Representative,Nita Lowey,NitaLowey,D,115
OK,Representative,Frank Lucas,RepFrankLucas,R,115
MO,Representative,Blaine Luetkemeyer,RepBlainePress,R,115
NM,Representative,Ben Lujön,RepBenrayLujan,D,115
MA,Representative,Stephen Lynch,RepStephLynch,D,115
NJ,Representative,Thomas MacArthur,RepTomMacArthur,R,115
NY,Representative,Carolyn Maloney,RepMaloney,D,115
NY,Representative,Sean Maloney,RepSeanMaloney,D,115
TX,Representative,Kenny Marchant,RepKenMarchant,R,115
PA,Representative,Thomas Marino,RepTomMarino,R,115
KS,Representative,Roger Marshall,RogerMarshallMD,R,115
KY,Representative,Thomas Massie,RepThomasMassie,R,115
FL,Representative,Brian Mast,RepBrianMast,R,115
CA,Representative,Doris Matsui,DorisMatsui,D,115
CA,Representative,Kevin McCarthy,GOPLeader,R,115
TX,Representative,Michael McCaul,McCaulPressShop,R,115
CA,Representative,Thomas McClintock,RepMcClintock,R,115
MN,Representative,Betty McCollum,BetyMcCollum04,D,115
VA,Representative,A. McEachin,RepMcEachin,D,115
MA,Representative,James McGovern,RepMcGovern,D,115
NC,Representative,Patrick McHenry,PatrickMcHenry,R,115
WV,Representative,David McKinley,RepMcKinley,R,115
WA,Representative,Cathy McMorris Rodgers,CathyMcMorris,R,115
CA,Representative,Gerald McNerney,RepMcNerney,D,115
AZ,Representative,Martha McSally,RepMcSally,R,115
NC,Representative,Mark Meadows,RepMarkMeadows,R,115
PA,Representative,Patrick Meehan,RepMeehan,R,115
NY,Representative,Gregory Meeks,GregoryMeeks,D,115
NY,Representative,Grace Meng,RepGraceMeng,D,115
IN,Representative,Allen Messer,RepLukeMesser,R,115
MI,Representative,Paul Mitchell,RepPaulMitchell,R,115
MI,Representative,John Moolenaar,RepMoolenaar,R,115
WV,Representative,Alexander Mooney,RepAlexMooney,R,115
WI,Representative,Gwendolynne Moore,RepGwenMoore,D,115
MA,Representative,Seth Moulton,TeamMoulton,D,115
OK,Representative,Markwayne Mullin,RepMullin,R,115
FL,Representative,Stephanie Murphy,RepStephMurphy,D,115
NY,Representative,Jerrold Nadler,RepJerryNadler,D,115
CA,Representative,Grace Napolitano,GraceNapolitano,D,115
MA,Representative,Richard Neal,RepRichardNeal,D,115
WA,Representative,Daniel Newhouse,RepNewhouse,R,115
MN,Representative,Richard Nolan,USRepRickNolan,D,115
NJ,Representative,Donald Norcross,DonaldNorcross,D,115
SC,Representative,Ralph Norman,RepRalphNorman,R,115
DC,Delegate,Eleanor Norton,EleanorNorton,D,115
CA,Representative,Devin Nunes,DevinNunes,R,115
AR,Representative,Tom O'Halleran,repohalleran,D,115
TX,Representative,Robert O'Rourke,RepBetORourke,D,115
TX,Representative,Pete Olson,OlsonPressShop,R,115
MS,Representative,Steven Palazzo,CongPalazo,R,115
NJ,Representative,Frank Pallone,FrankPallone,D,115
AL,Representative,Gary Palmer,USRepGaryPalmer,R,115
CA,Representative,James Panetta,RepJimmyPanetta,D,115
NJ,Representative,William Pascrell,BilPascrell,D,115
MN,Representative,Erik Paulsen,RepErikPaulsen,R,115
NJ,Representative,Donald Payne,RepDonaldPayne,D,115
NM,Representative,Stevan Pearce,RepStevePearce,R,115
CA,Representative,Nancy Pelosi,NancyPelosi,D,115
CO,Representative,Edwin Perlmutter,RepPerlmutter,D,115
PA,Representative,Scott Perry,RepScottPerry,R,115
CA,Representative,Scott Peters,RepScottPeters,D,115
MN,Representative,Collin Peterson,CollinPeterson,D,115
ME,Representative,Chellie Pingree,chelliepingree,D,115
NC,Representative,Robert Pittenger,RepPittenger,R,115
VI,Delegate,Stacey Plaskett,StacyPlaskett,D,115
WI,Representative,Mark Pocan,RepMarkPocan,D,115
TX,Representative,Ted Poe,JudgeTedPoe,R,115
ME,Representative,Bruce Poliquin,RepPoliquin,R,115
CO,Representative,Jared Polis,JaredPolis,D,115
FL,Representative,William Posey,CongBillPosey,R,115
NC,Representative,David Price,RepDavidEPrice,D,115
IL,Representative,Michael Quigley,RepMikeQuigley,D,115
MD,Representative,Jamin Raskin,repraskin,D,115
TX,Representative,John Ratcliffe,RepRatcliffe,R,115
NY,Representative,Thomas Reed,RepTomReed,R,115
WA,Representative,David Reichert,DaveReichert,R,115
OH,Representative,James Renacci,RepJimRenacci,R,115
NY,Representative,Kathleen Rice,RepKathleenRice,D,115
SC,Representative,Tom Rice,RepTomRice,R,115
LA,Representative,Cedric Richmond,RepRichmond,D,115
AL,Representative,Martha Roby,RepMarthaRoby,R,115
DE,Representative,Lisa Rochester,RepBRochester,D,115
TN,Representative,David Roe,DrPhilRoe,R,115
AL,Representative,Michael Rogers,RepMikeRogersAL,R,115
KY,Representative,Harold Rogers,RepHalRogers,R,115
CA,Representative,Dana Rohrabacher,DanaRohrabacher,R,115
IN,Representative,Theodore Rokita,TodRokita,R,115
FL,Representative,Thomas Rooney,TomRooney,R,115
FL,Representative,L. Rooney,RepRooney,R,115
NV,Representative,Jacklyn Rosen,,D,115
IL,Representative,Peter Roskam,PeterRoskam,R,115
FL,Representative,Ileana RosLehtinen,RosLehtinen,R,115
FL,Representative,Dennis Ross,RepDennisRoss,R,115
PA,Representative,Keith Rothfus,KiethRothfus,R,115
NC,Representative,David Rouzer,RepDavidRouzer,R,115
CA,Representative,Lucille RoybalAllard,RebRoybalAllard,D,115
CA,Representative,Edward Royce,RepEdRoyce,R,115
CA,Representative,Raul Ruiz,CongressmanRuiz,D,115
MD,Representative,Charles Ruppersberger,Call_Me_Dutch,D,115
IL,Representative,Bobby Rush,RepBobbyRush,D,115
OK,Representative,Steve Russell,SteveRussellRep,R,115
FL,Representative,John Rutherford,JRutherfordFL,R,115
OH,Representative,Timothy Ryan,RepTimRyan,D,115
WI,Representative,Paul Ryan,RepPaulRyan,R,115
CA,Representative,Linda Sönchez,RepLindaSanchez,D,115
SC,Representative,Mark Sanford,RepSanfordSC,R,115
MD,Representative,John Sarbanes,RepSarbanes,D,115
LA,Representative,Stephen Scalise,SteveScalise,R,115
IL,Representative,Janice Schakowsky,JanSchakowsky,D,115
CA,Representative,Adam Schiff,RepAdamSchiff,D,115
IL,Representative,Bradley Schneider,repschneider,D,115
OR,Representative,Kurt Schrader,RepSchrader,D,115
AZ,Representative,David Schweikert,RepDavid,R,115
GA,Representative,David Scott,RepDavidScott,D,115
GA,Representative,James Scott,AustinScottGA08,R,115
VA,Representative,Robert Scott,RebBobbyScott,D,115
WI,Representative,Frank Sensenbrenner,JimPressOffice,R,115
NY,Representative,Jos_ Serrano,RepJoseSerrano,D,115
TX,Representative,Pete Sessions,PeteSessions,R,115
AL,Representative,Terrycina Sewell,RepTerriSewell,D,115
NH,Representative,Carol Shea-Porter,repsheaporter,D,115
CA,Representative,Brad Sherman,BradSherman,D,115
IL,Representative,John Shimkus,RepShimkus,R,115
PA,Representative,William Shuster,RepBillShuster,R,115
ID,Representative,Michael Simpson,CongMikeSimpson,R,115
AZ,Representative,Kyrsten Sinema,RepSinema,D,115
NJ,Representative,Albio Sires,RepSires,D,115
NY,Representative,Louise Slaughter,LouiseSlaughter,D,115
MO,Representative,Jason Smith,RepJasonSmith,R,115
NE,Representative,Adrian Smith,RepAdrianSmith,R,115
NJ,Representative,Christopher Smith,RepChrisSmith,R,115
TX,Representative,Lamar Smith,LamarSmithTX21,R,115
WA,Representative,Adam Smith,RepAdamSmith,D,115
PA,Representative,Lloyd Smucker,RepSmucker,R,115
FL,Representative,Darren Soto,USRepSoto,D,115
CA,Representative,Karen Speier,RepSpeier,D,115
NY,Representative,Elise Stefanik,RepStefanik,R,115
UT,Representative,Chris Stewart,RepChrisStewart,R,115
OH,Representative,Steve Stivers,RepSteveStivers,R,115
NY,Representative,Thomas Suozzi,RepTomSuozzi,D,115
CA,Representative,Eric Swalwell,RepSwalwell,D,115
CA,Representative,Mark Takano,RepMarkTakano,D,115
VA,Representative,Scott Taylor,Scotttaylorva,R,115
NY,Representative,Claudia Tenney,RepTenney,R,115
CA,Representative,Michael Thompson,RepThompson,D,115
MS,Representative,Bennie Thompson,BennieGThompson,D,115
PA,Representative,Glenn Thompson,CongressmanGT,R,115
TX,Representative,William Thornberry,MacTXPress,R,115
CO,Representative,Scott Tipton,RepScottTipton,R,115
NV,Representative,Dina Titus,RepDinaTitus,D,115
NY,Representative,Paul Tonko,RepPaulTonko,D,115
CA,Representative,Norma Torres,NormaJTorres,D,115
MI,Representative,David Trott,RepDaveTrott,R,115
MA,Representative,Nicola Tsongas,nikiinthehouse,D,115
OH,Representative,Michael Turner,RepMikeTurner,R,115
MI,Representative,Frederick Upton,RepFredUpton,R,115
CA,Representative,David Valadao,RepDavidValadao,R,115
MD,Representative,Christopher Van Hollen,ChrisVanHollen,D,115
CA,Representative,Juan Vargas,RepJuanVargas,D,115
TX,Representative,Marc Veasey,RepVeasey,D,115
TX,Representative,Filemon Vela,ReFilmonVeila,D,115
NY,Representative,Nydia Velazquez,NydiaVelazquez,D,115
IN,Representative,Peter Visclosky,RepVisclosky,D,115
MO,Representative,Ann Wagner,RepAnnWagner,R,115
MI,Representative,Timothy Walberg,RepWalberg,R,115
OR,Representative,Greg Walden,RepGregWalden,R,115
NC,Representative,Mark Walker,RepMarkWalker,R,115
IN,Representative,Jacqueline Walorski,RepWalorski,R,115
CA,Representative,Mimi Walters,RepMimiWalters,R,115
MN,Representative,Timothy Walz,RepTimWalz,D,115
FL,Representative,Debbie Wasserman-Schultz,RepDWStweets,D,115
CA,Representative,Maxine Waters,MaxineWaters,D,115
NJ,Representative,Bonnie Watson Coleman,RepBWColement,D,115
TX,Representative,Randy Weber,TXRandy14,R,115
FL,Representative,Daniel Webster,RepWebster,R,115
VT,Representative,Peter Welch,PeterWelch,D,115
OH,Representative,Brad Wenstrup,RepBradWenstrup,R,115
AR,Representative,Bruce Westerman,RepWesterman,R,115
TX,Representative,John Williams,RepRWilliams,R,115
FL,Representative,Frederica Wilson,RepWilson,D,115
SC,Representative,Addison Wilson,RepJoeWilson,R,115
VA,Representative,Robert Wittman,RobWittman,R,115
AR,Representative,Stephen Womack,Rep_SteveWomack,R,115
GA,Representative,W. Woodall,RepRobWoodall,R,115
KY,Representative,John Yarmuth,RepJohYarmuth,D,115
KS,Representative,Kevin Yoder,RepKevinYoder,R,115
FL,Representative,Ted Yoho,RepTedYoho,R,115
AK,Representative,Donald Young,repdonyoung,R,115
IA,Representative,David Young,RepDavidYoung,R,115
NY,Representative,Lee Zeldin,RepLeeZeldin,R,115
MT,Representative,Ryan Zinke,RyanZinke,R,115
OH,Representative,Troy Balderson,repbalderson,R,115
CA,Representative,Xavier Becerra,repbecerra,D,115
TX,Representative,Eddie BerniceJohnson,RepEBJ,D,115
IL,Representative,Mike Bost,RepBost,R,115
UT,Representative,Jason Chaffetz,jasoninthehouse,R,115
TX,Representative,Michael Cloud,RepCloudTX,R,115
MI,Representative,John Conyers,RepJohnConyers,D,115
OH,Representative,Warren Davidson,WarrenDavidson,R,115
AZ,Representative,Trent Franks,RepTrentFranks,R,115
OK,Representative,Kevin Hern,repkevinhern,R,115
DC,Representative,Eleanor HolmesNorton,EleanorNorton,D,115
PA,Representative,Conor Lamb,RepconorLamb,D,115
CO,Representative,Doug Lamborn,Repdlamborn,R,115
AZ,Representative,Debbie Lesko,Repdlesko,R,115
NH,Representative,Ann McLaneKuster,RepAnnieKuster,D,115
NY,Representative,Joseph Morelle,RepJoeMorelle,D,115
PA,Representative,Tim Murphy,RepTimMurphy,R,115
SD,Representative,Kristi Noem,repkristinoem,R,115
KS,Representative,Mike Pompeo,RepMikePompeo,R,115
GA,Representative,Tom Price,RepTomPrice,R,115
NM,Representative,Ben RayLujön,repbenraylujan,D,115
PA,Representative,Mary Scanlon,RepMCGS,D,115
OH,Representative,Pat Tiberi,tiberipress,R,115
TN,Senator,Lamar Alexander,LamarAlexander,R,115
WI,Senator,Tammy Baldwin,SenatorBaldwin,D,115
WY,Senator,John Barrasso,SenJohnBarrasso,R,115
CO,Senator,Michael Bennet,SenBennetCo,D,115
CT,Senator,Richard Blumenthal,SenBlumenthal,D,115
MO,Senator,Roy Blunt,RoyBlunt,R,115
NJ,Senator,Cory Booker,CoryBooker,D,115
AR,Senator,John Boozman,JohnBoozman,R,115
OH,Senator,Sherrod Brown,SenSherrodBrown,D,115
NC,Senator,Richard Burr,SenatorBurr,R,115
WA,Senator,Maria Cantwell,SenatorCantwell,D,115
WV,Senator,Shelley Capito,SenCapito,R,115
MD,Senator,Benjamin Cardin,SenatorCardin,D,115
DE,Senator,Thomas Carper,SenatorCarper,D,115
PA,Senator,Bob Casey,SenBobCasey,D,115
LA,Senator,Bill Cassidy,BillCassidy,R,115
MS,Senator,Thad Cochran,SenThadCochran,R,115
ME,Senator,Susan Collins,SenatorCollins,R,115
DE,Senator,Chris Coons,ChrisCoons,D,115
TN,Senator,Bob Corker,SenBobCorker,R,115
TX,Senator,John Cornyn,JohnCornyn,R,115
NV,Senator,Catherine Cortez-Mast,SenCortezMasto,D,115
AR,Senator,Tom Cotton,SenTomCotton,R,115
ID,Senator,Michael Crapo,MikeCrapo,R,115
TX,Senator,Ted Cruz,SenTedCruz,R,115
MT,Senator,Steve Daines,SteveDaines,R,115
IN,Senator,Joe Donnelly,SenDonnelly,D,115
IL,Senator,Tammy Duckworth,SenDuckworth,D,115
IL,Senator,Richard Durbin,SenatorDurbin,D,115
WY,Senator,Michael Enzi,SenatorEnzi,R,115
IA,Senator,Joni Ernst,SenJoniErnst,R,115
CA,Senator,Dianne Feinstein,SenFeinstein,D,115
NE,Senator,Deb Fischer,SenatorFischer,R,115
AZ,Senator,Jeff Flake,JeffFlake,R,115
CO,Senator,Cory Gardner,SenCoryGardner,R,115
NY,Senator,Kirsten Gillibrand,SenGillibrand,D,115
SC,Senator,Lindsey Graham,LindseyGrahamSC,R,115
IA,Senator,Chuck Grassley,ChuckGrassley,R,115
CA,Senator,Kamala Harris,SenKamalaHarris,D,115
NH,Senator,Maggie Hassan,SenatorHassan,D,115
UT,Senator,Orrin Hatch,senorrinhatch,R,115
NM,Senator,Martin Heinrich,MartinHeinrich,D,115
ND,Senator,Heidi Heitkamp,SenatorHeitkamp,D,115
NV,Senator,Dean Heller,SenDeanHeller,R,115
HI,Senator,Mazie Hirono,maziehirono,D,115
ND,Senator,John Hoeven,SenJohnHoeven,R,115
OK,Senator,Jim Inhofe,JimInhofe,R,115
GA,Senator,Johnny Isakson,SenatorIsakson,R,115
